player_id,year,player_name,position_combine,School,height(1),Height(inches),weight,forty_yard,vertical_leap,bench_press,broad_jump,three_cone,shuttle_run,nfl_team,position_nfl,position_nfl_standard,draft_round,draft_pick
2000DarnAlfo,2000,Darnell Alford,OT,Boston Col.,6 ft 4 in,76,334,5.56,25,23,94,8.48,4.98,KAN,G,G,6,188
2000ReggAust,2000,Reggie Austin,CB,Wake Forest,5 ft 9 in,69,175,4.44,35,17,119,7.03,4.14,CHI,DB,DB,4,125
2000MarkBani,2000,Mark Baniewicz,OT,Syracuse,6 ft 6 in,78,312,5.34,28,20,96,7.72,4.73,JAX,T,T,7,247
2000RashBarn,2000,Rashidi Barnes,S,Colorado,6 ft 0 in,72,208,4.62,35,10,114,6.92,4.32,CLE,DB,DB,7,225
2000DaviBarr,2000,David Barrett,CB,Arkansas,5 ft 10 in,70,199,4.44,37.5,16,116,6.81,4.04,ARI,DB,DB,4,102
2000RogeBeck,2000,Rogers Beckett,S,Marshall,6 ft 1 in,73,207,4.62,39.5,15,119,6.48,4.29,SDG,DB,DB,2,43
2000BradBede,2000,Brad Bedell,OG,Colorado,6 ft 4 in,76,302,5.07,31.5,17,103,7.76,4.58,CLE,T,T,6,206
2000MarcBell,2000,Marcus Bell,ILB,Arizona,6 ft 2 in,74,237,4.78,31.5,21,111,7.17,4.33,SEA,LB,LB,4,116
2000MichBoir,2000,Michael Boireau,DE,Miami (FL),6 ft 4 in,76,274,5.09,29,26,105,7.68,4.49,MIN,DE,DE,2,56
2000MattBowe,2000,Matt Bowen,S,Iowa,6 ft 1 in,73,201,4.49,33,12,115,7.06,4.09,STL,DB,DB,6,198
2000MikeBrow,2000,Mike Brown,S,Nebraska,5 ft 10 in,70,204,4.59,36,14,116,6.93,4.01,CHI,DB,DB,2,39
2000CoopCarl,2000,Cooper Carlisle,OG,Florida,6 ft 5 in,77,297,5.16,31,28,100,7.82,4.48,DEN,G,G,4,112
2000LeonCars,2000,Leonardo Carson,DE,Auburn,6 ft 1 in,73,283,5.06,28,22,106,7.82,4.75,SDG,DT,DT,4,113
2000TyroCart,2000,Tyrone Carter,S,Minnesota,5 ft 8 in,68,190,4.5,41,16,121,6.75,4.19,MIN,DB,DB,4,118
2000DougChap,2000,Doug Chapman,RB,Marshall,5 ft 10 in,70,215,4.56,38.5,16,128,6.84,4.2,MIN,RB,RB,3,88
2000JoeyChus,2000,Joey Chustz,OT,Louisiana Tech,6 ft 7 in,79,304,5.08,31,28,103,7.65,4.65,JAX,T,T,4,123
2000KendClan,2000,Kendrick Clancy,DT,Mississippi,6 ft 1 in,73,283,5.25,27.5,25,108,7.98,4.65,PIT,DT,DT,3,72
2000TravClar,2000,Travis Claridge,OG,USC,6 ft 5 in,77,303,5.15,31.5,29,100,7.77,4.86,ATL,G,G,2,37
2000ChadClif,2000,Chad Clifton,OT,Tennessee,6 ft 5 in,77,334,5.05,30.5,24,102,7.58,4.73,GNB,T,T,2,44
2000ReubDrou,2000,Reuben Droughns,RB,Oregon,5 ft 11 in,71,215,4.66,30,13,115,7.34,4.41,DET,RB,RB,3,81
2000JohnEnge,2000,John Engelberger,DE,Virginia Tech,6 ft 4 in,76,260,4.73,34,24,115,6.95,4.28,SFO,DE,DE,2,35
