player_id,year,player_name,position_combine,School,height,weight,forty_yard,vertical_leap,bench_press,broad_jump,three_cone,shuttle_run,nfl_team,position_nfl,position_nfl_standard,IF_DRAFTED,draft_round,draft_pick
2000JohnAbra,2000,John Abraham,OLB,South Carolina,6 ft 4 in,252,4.55,,,,,,NYJ,DE,DE,1,1,13
2000ShauAlex,2000,Shaun Alexander,RB,Alabama,6 ft 0 in,218,4.58,,,,,,SEA,RB,RB,1,1,19
2000DarnAlfo,2000,Darnell Alford,OT,Boston Col.,6 ft 4 in,334,5.56,25,23,94,8.48,4.98,KAN,G,G,1,6,188
2000KyleAlla,2000,Kyle Allamon,TE,Texas Tech,6 ft 2 in,253,4.97,29,,104,7.29,4.49,,,,0,,
2000RashAnde,2000,Rashard Anderson,CB,Jackson State,6 ft 2 in,206,4.55,34,,123,7.18,4.15,CAR,DB,DB,1,1,23
2000JakeAria,2000,Jake Arians,K,Ala-Birmingham,5 ft 10 in,202,,,,,,,,,,0,,
2000LaVaArri,2000,LaVar Arrington,OLB,Penn State,6 ft 3 in,250,4.53,,,,,,WAS,LB,LB,1,1,2
2000CoreAtki,2000,Corey Atkins,OLB,South Carolina,6 ft 0 in,237,4.72,31,21,112,7.96,4.39,,,,0,,
2000KyleAtte,2000,Kyle Atteberry,K,Baylor,6 ft 0 in,167,,,,,,,,,,0,,
2000ReggAust,2000,Reggie Austin,CB,Wake Forest,5 ft 9 in,175,4.44,35,17,119,7.03,4.14,CHI,DB,DB,1,4,125
2000JohnBake,2000,John Baker,P,North Texas,6 ft 3 in,227,,,,,,,,,,0,,
2000MarkBani,2000,Mark Baniewicz,OT,Syracuse,6 ft 6 in,312,5.34,28,20,96,7.72,4.73,JAX,T,T,1,7,247
2000RashBarn,2000,Rashidi Barnes,S,Colorado,6 ft 0 in,208,4.62,35,10,114,6.92,4.32,CLE,DB,DB,1,7,225
2000DaviBarr,2000,David Barrett,CB,Arkansas,5 ft 10 in,199,4.44,37.5,16,116,6.81,4.04,ARI,DB,DB,1,4,102
2000WillBart,2000,William Bartee,CB,Oklahoma,6 ft 1 in,192,4.43,38.5,,124,6.7,3.99,KAN,DB,DB,1,2,54
2000AndrBaye,2000,Andrew Bayes,P,East Carolina,6 ft 2 in,200,,,,,,,,,,0,,
2000TerrBead,2000,Terrance Beadles,OG,Ark-Pine Bluff,6 ft 3 in,312,5.19,,29,,,,,,,0,,
2000RobeBean,2000,Robert Bean,CB,Mississippi State,5 ft 11 in,178,4.5,34.5,,122,6.87,4.2,CIN,DB,DB,1,5,133
2000AnthBech,2000,Anthony Becht,TE,West Virginia,6 ft 6 in,270,4.78,33.5,,123,6.94,4.08,NYJ,TE,TE,1,1,27
2000MattBeck,2000,Matt Beck,ILB,California,6 ft 3 in,234,4.65,,,,,,,,,0,,
2000RogeBeck,2000,Rogers Beckett,S,Marshall,6 ft 1 in,207,4.62,39.5,15,119,6.48,4.29,SDG,DB,DB,1,2,43
2000BradBede,2000,Brad Bedell,OG,Colorado,6 ft 4 in,302,5.07,31.5,17,103,7.76,4.58,CLE,T,T,1,6,206
2000MarcBell,2000,Marcus Bell,ILB,Arizona,6 ft 2 in,237,4.78,31.5,21,111,7.17,4.33,SEA,LB,LB,1,4,116
2000GaryBerr,2000,Gary Berry,S,Ohio State,5 ft 11 in,204,4.55,,,,,,GNB,DB,DB,1,4,126
2000MichBoir,2000,Michael Boireau,DE,Miami (FL),6 ft 4 in,274,5.09,29,26,105,7.68,4.49,MIN,DE,DE,1,2,56
2000MattBowe,2000,Matt Bowen,S,Iowa,6 ft 1 in,201,4.49,33,12,115,7.06,4.09,STL,DB,DB,1,6,198
2000CarlBrad,2000,Carl Bradley,DT,Virginia Tech,6 ft 2 in,300,5.03,,,,,,,,,0,,
2000Tom Brad,2000,Tom Brady,QB,Michigan,6 ft 4 in,211,5.28,24.5,,99,7.2,4.38,NWE,QB,QB,1,6,199
2000RobeBran,2000,Robert Brannon,DT,Iowa State,6 ft 4 in,309,5.19,28.5,28,99,7.82,4.7,,,,0,,
2000KeitBrow,2000,Keith Brown,RB,UCLA,5 ft 11 in,216,4.66,30,,117,6.64,4.08,,,,0,,
2000DemaBrow,2000,Demario Brown,RB,Utah State,6 ft 0 in,217,4.72,31,,107,7.17,4.39,,,,0,,
2000CourBrow,2000,Courtney Brown,DE,Penn State,6 ft 5 in,269,4.78,,,,,,CLE,DE,DE,1,1,1
2000MikeBrow,2000,Mike Brown,S,Nebraska,5 ft 10 in,204,4.59,36,14,116,6.93,4.01,CHI,DB,DB,1,2,39
2000RalpBrow,2000,Ralph Brown,CB,Nebraska,5 ft 10 in,185,4.55,,10,,,,NYG,DB,DB,1,5,140
2000TravBrow,2000,Travis Brown,QB,Northern Arizona,6 ft 3 in,218,5.01,29,,101,7.54,4.87,,,,0,,
2000LamoBrya,2000,Lamont Bryant,DE,Notre Dame,6 ft 3 in,260,4.91,,17,,,,,,,0,,
2000MarcBulg,2000,Marc Bulger,QB,West Virginia,6 ft 2 in,208,4.97,,,100,7.46,4.34,NOR,QB,QB,1,6,168
2000KeitBull,2000,Keith Bulluck,OLB,Syracuse,6 ft 3 in,244,4.47,38,,119,7.33,4.13,TEN,LB,LB,1,1,30
2000BillBurk,2000,Bill Burke,QB,Michigan State,6 ft 4 in,206,5.03,28.5,,107,7.46,4.42,,,,0,,
2000PlaxBurr,2000,Plaxico Burress,WR,Michigan State,6 ft 5 in,231,4.59,33,,115,,,PIT,WR,WR,1,1,8
2000DaviByrd,2000,David Byrd,CB,Syracuse,5 ft 11 in,202,4.53,36,14,117,7.18,4.39,,,,0,,
2000TrunCani,2000,Trung Canidate,RB,Arizona,5 ft 11 in,193,4.41,,18,,,,STL,RB,RB,1,1,31
2000CoopCarl,2000,Cooper Carlisle,OG,Florida,6 ft 5 in,297,5.16,31,28,100,7.82,4.48,DEN,G,G,1,4,112
2000GiovCarm,2000,Giovanni Carmazzi,QB,Hofstra,6 ft 3 in,224,4.74,36.5,,119,6.94,4.23,SFO,QB,QB,1,3,65
2000LeonCars,2000,Leonardo Carson,DE,Auburn,6 ft 1 in,283,5.06,28,22,106,7.82,4.75,SDG,DT,DT,1,4,113
2000TyroCart,2000,Tyrone Carter,S,Minnesota,5 ft 8 in,190,4.5,41,16,121,6.75,4.19,MIN,DB,DB,1,4,118
2000KwamCavi,2000,Kwame Cavil,WR,Texas,6 ft 2 in,208,4.54,39.5,,118,,,,,,0,,
2000ChriChal,2000,Chris Chaloupka,QB,SMU,6 ft 2 in,216,4.96,,,,,,,,,0,,
2000DougChap,2000,Doug Chapman,RB,Marshall,5 ft 10 in,215,4.56,38.5,16,128,6.84,4.2,MIN,RB,RB,1,3,88
2000Ike Char,2000,Ike Charlton,CB,Virginia Tech,5 ft 11 in,205,4.47,,16,126,,,SEA,DB,DB,1,2,52
2000ChryChuk,2000,Chrys Chukwuma,RB,Arkansas,6 ft 1 in,232,4.56,,,115,,,,,,0,,
2000JoeyChus,2000,Joey Chustz,OT,Louisiana Tech,6 ft 7 in,304,5.08,31,28,103,7.65,4.65,JAX,T,T,1,4,123
2000PedrCiri,2000,Pedro Cirino,S,Boston Col.,5 ft 11 in,197,4.59,,,,,,,,,0,,
2000JohnSain,2000,John Saint Clair,C,Virginia,6 ft 5 in,302,5.2,,25,,,,,,,0,,
2000KendClan,2000,Kendrick Clancy,DT,Mississippi,6 ft 1 in,283,5.25,27.5,25,108,7.98,4.65,PIT,DT,DT,1,3,72
2000TravClar,2000,Travis Claridge,OG,USC,6 ft 5 in,303,5.15,31.5,29,100,7.77,4.86,ATL,G,G,1,2,37
2000DannClar,2000,Danny Clark,ILB,Illinois,6 ft 2 in,245,4.75,,20,,,,JAX,LB,LB,1,7,245
2000ChadClif,2000,Chad Clifton,OT,Tennessee,6 ft 5 in,334,5.05,30.5,24,102,7.58,4.73,GNB,T,T,1,2,44
2000ChriCole,2000,Chris Cole,WR,Texas A&M,6 ft 0 in,191,4.37,37.5,,125,6.76,4.09,DEN,WR,WR,1,3,70
2000ChriCole,2000,Chris Coleman,WR,North Carolina State,6 ft 0 in,211,4.61,32.5,,110,6.79,4.1,DEN,WR,WR,1,3,70
2000CoseCole,2000,Cosey Coleman,OG,Tennessee,6 ft 4 in,322,5.4,28,,101,8.15,4.97,TAM,G,G,1,2,51
2000LaveCole,2000,Laveranues Coles,WR,Florida State,5 ft 11 in,192,4.41,34,,115,6.89,4.39,NYJ,WR,WR,1,3,78
2000ChriComb,2000,Chris Combs,DT,Duke,6 ft 5 in,286,5.16,,22,,,,PIT,DE,DE,1,6,173
2000KurtConn,2000,Kurth Connell,OT,Washington,6 ft 4 in,291,5.49,33,27,103,8.14,4.84,,,,0,,
2000RameConn,2000,Rameel Connor,DE,Illinois,6 ft 3 in,276,5,35.5,25,121,7.65,4.45,,,,0,,
2000D.J.Coop,2000,D.J. Cooper,DT,Arkansas,6 ft 3 in,277,5.22,28,,108,7.41,4.49,,,,0,,
2000AshlCoop,2000,Ashley Cooper,S,Mississippi State,5 ft 10 in,208,4.67,,16,117,,,,,,0,,
2000RenaCox,2000,Renard Cox,CB,Maryland,5 ft 11 in,192,4.68,38,13,111,7.1,,,,,0,,
2000CaseCraw,2000,Casey Crawford,TE,Virginia,6 ft 6 in,244,4.83,,18,,,,,,,0,,
2000SedrCurr,2000,Sedrick Curry,CB,Texas A&M,6 ft 1 in,197,4.44,39,,125,6.34,3.94,,,,0,,
2000ChriDani,2000,Chris Daniels,WR,Purdue,6 ft 3 in,217,4.74,33,,115,7.2,4.24,,,,0,,
2000BranDani,2000,Brandon Daniels,WR,Oklahoma,5 ft 10 in,211,4.54,,,,,,,,,0,,
2000Joe Dean,2000,Joe Dean Davenport,TE,Arkansas,6 ft 7 in,268,5.06,30,13,108,7.33,4.67,,,,0,,
2000DarrDavi,2000,Darren Davis,RB,Iowa State,5 ft 8 in,189,4.81,32,13,109,7.04,4.47,,,,0,,
2000AdamDavi,2000,Adam Davis,OG,Oklahoma State,6 ft 4 in,309,5.66,26,,92,8.51,5,,,,0,,
2000JaJuDaws,2000,JaJuan Dawson,WR,Tulane,6 ft 1 in,199,4.55,34,,117,6.96,4.16,CLE,WR,WR,1,3,79
2000Ron Dayn,2000,Ron Dayne,RB,Wisconsin,5 ft 11 in,259,4.65,,,,,,NYG,RB,RB,1,1,11
2000JerrDeLo,2000,Jerry DeLoach,DT,California,6 ft 3 in,314,4.99,31.5,19,101,7.4,4.57,,,,0,,
2000MikeDero,2000,Mike Derouselle,DT,Houston,6 ft 2 in,314,5.28,27.5,27,96,7.67,4.8,,,,0,,
2000Na'iDigg,2000,Na'il Diggs,OLB,Ohio State,6 ft 4 in,231,4.66,,,,,,GNB,LB,LB,1,4,98
2000ReubDrou,2000,Reuben Droughns,RB,Oregon,5 ft 11 in,215,4.66,30,13,115,7.34,4.41,DET,RB,RB,1,3,81
2000Ron Duga,2000,Ron Dugans,WR,Florida State,6 ft 1 in,206,4.58,,,117,,,CIN,WR,WR,1,3,66
