Player,Pos,School,AP Ranking,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Year,player_id,year,rnd,pick,tm,hof,pos,position_standard,first4av,age,to,ap1,pb,st,carav,drav,g,cmp,pass_att,pass_yds,pass_td,pass_int,rush_att,rush_yds,rush_tds,rec,rec_yds,rec_tds,tkl,def_int,sk,college_univ
John Abraham,OLB,South Carolina,,4-Jun,252,4.55,,,,,,2000,AbraJo00,2000,1,13,NYJ,No,DE,DE,40,22,2014,2,5,9,90,38,192,,,,,,,,,,,,446,1,133.5,South Carolina
Shaun Alexander,RB,Alabama,,Jun-00,218,4.58,,,,,,2000,AlexSh00,2000,1,19,SEA,No,RB,RB,53,23,2008,1,3,7,70,70,123,,,,,,2187,9453,100,215,1520,12,3,,,Alabama
Darnell Alford,OT,Boston Col.,,4-Jun,334,5.56,25,23,94,8.48,4.98,2000,AlfoDa20,2000,6,188,KAN,No,G,G,0,23,2001,0,0,0,0,0,3,,,,,,,,,,,,,,,Boston Col.
Rashard Anderson,CB,Jackson State,,2-Jun,206,4.55,34,,123,7.18,4.15,2000,AndeRa21,2000,1,23,CAR,No,DB,DB,6,23,2001,0,0,1,6,6,27,,,,,,,,,,,,59,1,,Jackson St.
LaVar Arrington,OLB,Penn State,,3-Jun,250,4.53,,,,,,2000,ArriLa00,2000,1,2,WAS,No,LB,LB,44,22,2006,0,3,4,46,45,85,,,,,,,,,,,,331,3,23.5,Penn St.
Reggie Austin,CB,Wake Forest,,9-May,175,4.44,35,17,119,7.03,4.14,2000,AustRe20,2000,4,125,CHI,No,DB,DB,3,23,2002,0,0,0,3,3,18,,,,,,,,,,,,17,2,,Wake Forest
Mark Baniewicz,OT,Syracuse,,6-Jun,312,5.34,28,20,96,7.72,4.73,2000,,2000,7,247,JAX,No,T,T,0,,,0,0,0,,,,,,,,,,,,,,,,,,Syracuse
Rashidi Barnes,S,Colorado,,Jun-00,208,4.62,35,10,114,6.92,4.32,2000,BarnRa20,2000,7,225,CLE,No,DB,DB,1,22,2000,0,0,0,1,1,14,,,,,,,,,,,,8,,,Colorado
David Barrett,CB,Arkansas,,10-May,199,4.44,37.5,16,116,6.81,4.04,2000,BarrDa22,2000,4,102,ARI,No,DB,DB,23,22,2008,0,0,4,30,13,131,,,,,,,,,,,,373,18,0.5,Arkansas
William Bartee,CB,Oklahoma,,1-Jun,192,4.43,38.5,,124,6.7,3.99,2000,BartWi20,2000,2,54,KAN,No,DB,DB,13,23,2005,0,0,2,13,13,87,,,,,,,,,,,,206,,3.5,Oklahoma
Robert Bean,CB,Mississippi State,,11-May,178,4.5,34.5,,122,6.87,4.2,2000,BeanRo20,2000,5,133,CIN,No,DB,DB,5,22,2002,0,0,0,5,5,32,,,,,,,,,,,,60,1,,Mississippi St.
Anthony Becht,TE,West Virginia,,6-Jun,270,4.78,33.5,,123,6.94,4.08,2000,BechAn00,2000,1,27,NYJ,No,TE,TE,11,23,2011,0,0,8,12,10,167,,,,,,,,,188,1537,21,17,,,West Virginia
Rogers Beckett,S,Marshall,,1-Jun,207,4.62,39.5,15,119,6.48,4.29,2000,BeckRo20,2000,2,43,SDG,No,DB,DB,18,23,2004,0,0,3,17,11,71,,,,,,,,,,,,216,4,4,Marshall
Brad Bedell,OG,Colorado,,4-Jun,302,5.07,31.5,17,103,7.76,4.58,2000,BedeBr20,2000,6,206,CLE,No,T,T,2,23,2006,0,0,0,3,2,40,,,,,,,,,,,,,,,Colorado
Marcus Bell,ILB,Arizona,,2-Jun,237,4.78,31.5,21,111,7.17,4.33,2000,BellMa20,2001,4,123,ARI,No,DT,DT,11,22,2006,0,0,1,13,8,86,,,,,,,,,,,,116,,6.5,Memphis
Marcus Bell,ILB,Arizona,,2-Jun,237,4.78,31.5,21,111,7.17,4.33,2000,BellMa21,2000,4,116,SEA,No,LB,LB,7,23,2002,0,0,1,7,7,45,,,,,,,,,,,,94,1,2,Arizona
Gary Berry,S,Ohio State,,11-May,204,4.55,,,,,,2000,BerrGa20,2000,4,126,GNB,No,DB,DB,0,22,2000,0,0,0,0,0,4,,,,,,,,,,,,,,,Ohio St.
Michael Boireau,DE,Miami (FL),,4-Jun,274,5.09,29,26,105,7.68,4.49,2000,,2000,2,56,MIN,No,DE,DE,0,,,0,0,0,,,,,,,,,,,,,,,,,,Miami (FL)
Matt Bowen,S,Iowa,,1-Jun,201,4.49,33,12,115,7.06,4.09,2000,BoweMa20,2000,6,198,STL,No,DB,DB,13,23,2006,0,0,1,13,1,77,,,,,,,,,,,,164,4,2,Iowa
Tom Brady,QB,Michigan,8,4-Jun,211,5.28,24.5,,99,7.2,4.38,2000,BradTo00,2000,6,199,NWE,No,QB,QB,51,23,2016,2,11,14,160,160,231,5098,7998,59943,444,151,523,939,17,2,59,0,9,,,Michigan
