player_id,year,player_name,position_combine,School,height,weight,forty_yard,vertical_leap,bench_press,broad_jump,three_cone,shuttle_run,nfl_team,position_nfl,position_nfl_standard,draft_round,draft_pick
2000DarnAlfo,2000,Darnell Alford,OT,Boston Col.,6 ft 4 in,334.0,5.56,25.0,23.0,94.0,8.48,4.98,KAN,G,G,6.0,188.0
2000ReggAust,2000,Reggie Austin,CB,Wake Forest,5 ft 9 in,175.0,4.44,35.0,17.0,119.0,7.03,4.14,CHI,DB,DB,4.0,125.0
2000MarkBani,2000,Mark Baniewicz,OT,Syracuse,6 ft 6 in,312.0,5.34,28.0,20.0,96.0,7.72,4.73,JAX,T,T,7.0,247.0
2000RashBarn,2000,Rashidi Barnes,S,Colorado,6 ft 0 in,208.0,4.62,35.0,10.0,114.0,6.92,4.32,CLE,DB,DB,7.0,225.0
2000DaviBarr,2000,David Barrett,CB,Arkansas,5 ft 10 in,199.0,4.44,37.5,16.0,116.0,6.81,4.04,ARI,DB,DB,4.0,102.0
2000RogeBeck,2000,Rogers Beckett,S,Marshall,6 ft 1 in,207.0,4.62,39.5,15.0,119.0,6.48,4.29,SDG,DB,DB,2.0,43.0
2000BradBede,2000,Brad Bedell,OG,Colorado,6 ft 4 in,302.0,5.07,31.5,17.0,103.0,7.76,4.58,CLE,T,T,6.0,206.0
2000MarcBell,2000,Marcus Bell,ILB,Arizona,6 ft 2 in,237.0,4.78,31.5,21.0,111.0,7.17,4.33,SEA,LB,LB,4.0,116.0
2000MichBoir,2000,Michael Boireau,DE,Miami (FL),6 ft 4 in,274.0,5.09,29.0,26.0,105.0,7.68,4.49,MIN,DE,DE,2.0,56.0
2000MattBowe,2000,Matt Bowen,S,Iowa,6 ft 1 in,201.0,4.49,33.0,12.0,115.0,7.06,4.09,STL,DB,DB,6.0,198.0
2000MikeBrow,2000,Mike Brown,S,Nebraska,5 ft 10 in,204.0,4.59,36.0,14.0,116.0,6.93,4.01,CHI,DB,DB,2.0,39.0
2000CoopCarl,2000,Cooper Carlisle,OG,Florida,6 ft 5 in,297.0,5.16,31.0,28.0,100.0,7.82,4.48,DEN,G,G,4.0,112.0
2000LeonCars,2000,Leonardo Carson,DE,Auburn,6 ft 1 in,283.0,5.06,28.0,22.0,106.0,7.82,4.75,SDG,DT,DT,4.0,113.0
2000TyroCart,2000,Tyrone Carter,S,Minnesota,5 ft 8 in,190.0,4.5,41.0,16.0,121.0,6.75,4.19,MIN,DB,DB,4.0,118.0
2000DougChap,2000,Doug Chapman,RB,Marshall,5 ft 10 in,215.0,4.56,38.5,16.0,128.0,6.84,4.2,MIN,RB,RB,3.0,88.0
2000JoeyChus,2000,Joey Chustz,OT,Louisiana Tech,6 ft 7 in,304.0,5.08,31.0,28.0,103.0,7.65,4.65,JAX,T,T,4.0,123.0
2000KendClan,2000,Kendrick Clancy,DT,Mississippi,6 ft 1 in,283.0,5.25,27.5,25.0,108.0,7.98,4.65,PIT,DT,DT,3.0,72.0
2000TravClar,2000,Travis Claridge,OG,USC,6 ft 5 in,303.0,5.15,31.5,29.0,100.0,7.77,4.86,ATL,G,G,2.0,37.0
2000ChadClif,2000,Chad Clifton,OT,Tennessee,6 ft 5 in,334.0,5.05,30.5,24.0,102.0,7.58,4.73,GNB,T,T,2.0,44.0
2000ReubDrou,2000,Reuben Droughns,RB,Oregon,5 ft 11 in,215.0,4.66,30.0,13.0,115.0,7.34,4.41,DET,RB,RB,3.0,81.0
2000JohnEnge,2000,John Engelberger,DE,Virginia Tech,6 ft 4 in,260.0,4.73,34.0,24.0,115.0,6.95,4.28,SFO,DE,DE,2.0,35.0
2000ErikFlow,2000,Erik Flowers,DE,Arizona State,6 ft 4 in,271.0,4.75,33.0,24.0,114.0,7.21,4.15,BUF,DE,DE,1.0,26.0
2000JohnFran,2000,John Frank,DE,Utah,6 ft 4 in,280.0,4.78,37.0,32.0,117.0,7.07,4.27,PHI,DE,DE,6.0,178.0
2000ArtuFree,2000,Arturo Freeman,S,South Carolina,6 ft 0 in,188.0,4.5,35.5,14.0,124.0,6.91,4.38,MIA,DB,DB,5.0,152.0
2000ByroFris,2000,Byron Frisch,DE,BYU,6 ft 4 in,281.0,4.73,34.5,31.0,114.0,7.2,4.41,TEN,DE,DE,3.0,93.0
2000MondFulc,2000,Mondriel Fulcher,FB,Miami (FL),6 ft 3 in,253.0,4.85,27.0,18.0,116.0,7.46,4.52,OAK,TE,TE,7.0,227.0
2000JasoGava,2000,Jason Gavadza,TE,Kent State,6 ft 3 in,249.0,4.62,32.5,22.0,113.0,7.15,4.3,PIT,TE,TE,6.0,204.0
2000KabeGbaj,2000,Kabeer Gbaja-Biamila,OLB,San Diego State,6 ft 4 in,243.0,4.65,34.0,21.0,120.0,6.9,4.28,GNB,DE,DE,5.0,149.0
2000Ian Gold,2000,Ian Gold,OLB,Michigan,6 ft 1 in,221.0,4.56,33.0,21.0,115.0,6.97,4.19,DEN,LB,LB,2.0,40.0
2000ErneGran,2000,Ernest Grant,DT,Ark-Pine Bluff,6 ft 5 in,316.0,5.31,29.5,24.0,98.0,8.0,5.03,MIA,DT,DT,6.0,167.0
2000MikeGree,2000,Mike Green,FB,Houston,6 ft 0 in,253.0,4.78,28.5,25.0,108.0,7.08,4.34,TEN,RB,RB,7.0,213.0
2000CornGrif,2000,Cornelius Griffin,DE,Alabama,6 ft 3 in,297.0,4.9,31.0,30.0,111.0,7.63,4.62,NYG,DT,DT,2.0,42.0
2000ClarHagg,2000,Clark Haggans,OLB,Colorado State,6 ft 3 in,253.0,4.97,31.5,20.0,109.0,7.12,4.21,PIT,LB,LB,5.0,137.0
2000DantHall,2000,Dante' Hall,RB,Texas A&M,5 ft 8 in,191.0,4.44,38.0,18.0,123.0,6.62,3.82,KAN,WR,WR,5.0,153.0
2000ThomHamn,2000,Thomas Hamner,RB,Minnesota,6 ft 0 in,197.0,4.5,32.0,17.0,125.0,6.97,4.07,PHI,RB,RB,6.0,171.0
2000AntwHarr,2000,Antwan Harris,CB,Virginia,5 ft 9 in,186.0,4.34,39.0,16.0,121.0,6.75,4.01,NWE,DB,DB,6.0,187.0
2000LloyHarr,2000,Lloyd Harrison,CB,North Carolina State,5 ft 10 in,190.0,4.5,37.5,16.0,119.0,7.12,4.25,WAS,DB,DB,3.0,64.0
2000ChriHova,2000,Chris Hovan,DT,Boston Col.,6 ft 2 in,305.0,4.99,30.0,35.0,101.0,6.85,4.16,MIN,DT,DT,1.0,25.0
2000JabaIssa,2000,Jabari Issa,DT,Washington,6 ft 5 in,296.0,5.05,31.5,19.0,105.0,7.69,4.72,ARI,DE,DE,6.0,176.0
2000JenoJame,2000,Jeno James,OG,Auburn,6 ft 3 in,320.0,5.62,25.5,24.0,94.0,8.51,5.22,CAR,G,G,6.0,182.0
2000MattJohn,2000,Matt Johnson,OG,BYU,6 ft 4 in,345.0,5.56,28.0,35.0,99.0,8.07,4.99,IND,G,G,5.0,138.0
2000LeanJord,2000,Leander Jordan,OG,Indiana (PA),6 ft 4 in,330.0,5.46,31.0,25.0,104.0,7.91,4.76,CAR,T,T,3.0,82.0
2000CurtKeat,2000,Curtis Keaton,RB,West Virginia,5 ft 10 in,214.0,4.41,41.5,23.0,131.0,6.82,3.93,CIN,RB,RB,4.0,97.0
