player_name,position,school,height,weight,forty_yard,vertical_leap,bench_press,broad_jump,three_cone,shuttle_run,year,player_id,draft_round,draft_pick,ht,bench_press_score,broad_jump_score,forty_yard_score,shuttle_run_score,three_cone_score,vertical_leap_score,combine_score,draft_pick_flag
John Abraham,OLB,South Carolina,6 ft 4 in,252.0,4.55,34.5,23.0,118.0,7.09,4.28,2000,2000ABRAHAMJOHNSOU,1.0,13.0,76,0.0,0.0,4.0,0.0,0.0,0.0,4.0,1
Shaun Alexander,RB,Alabama,6 ft 0 in,218.0,4.58,35.0,20.0,119.0,7.0,4.2,2000,2000ALEXANDERSHAUNALA,1.0,19.0,72,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1
Darnell Alford,OT,Boston Col.,6 ft 4 in,334.0,5.56,25.0,23.0,94.0,8.48,4.98,2000,2000ALFORDDARNELLBOS,6.0,188.0,76,2.0,1.0,1.0,1.0,1.0,1.0,7.0,1
Kyle Allamon,TE,Texas Tech,6 ft 2 in,253.0,4.97,29.0,19.5,104.0,7.29,4.49,2000,2000ALLAMONKYLETEX,8.0,999.0,74,0.0,1.0,1.0,1.0,2.0,1.0,6.0,0
Rashard Anderson,CB,Jackson State,6 ft 2 in,206.0,4.55,34.0,15.0,123.0,7.18,4.15,2000,2000ANDERSONRASHARDJAC,1.0,23.0,74,0.0,3.0,2.0,3.0,1.0,2.0,11.0,1
LaVar Arrington,OLB,Penn State,6 ft 3 in,250.0,4.53,34.5,23.0,118.0,7.09,4.28,2000,2000ARRINGTONLAVARPEN,1.0,2.0,75,0.0,0.0,4.0,0.0,0.0,0.0,4.0,1
Corey Atkins,OLB,South Carolina,6 ft 0 in,237.0,4.72,31.0,21.0,112.0,7.96,4.39,2000,2000ATKINSCOREYSOU,8.0,999.0,72,2.0,1.0,2.0,1.0,1.0,1.0,8.0,0
Reggie Austin,CB,Wake Forest,5 ft 9 in,175.0,4.44,35.0,17.0,119.0,7.03,4.14,2000,2000AUSTINREGGIEWAK,4.0,125.0,69,4.0,2.0,3.0,3.0,2.0,2.0,16.0,1
Mark Baniewicz,OT,Syracuse,6 ft 6 in,312.0,5.34,28.0,20.0,96.0,7.72,4.73,2000,2000BANIEWICZMARKSYR,7.0,247.0,78,1.0,1.0,2.0,3.0,3.0,2.0,12.0,1
Rashidi Barnes,S,Colorado,6 ft 0 in,208.0,4.62,35.0,10.0,114.0,6.92,4.32,2000,2000BARNESRASHIDICOL,7.0,225.0,72,1.0,1.0,2.0,1.0,3.0,2.0,10.0,1
David Barrett,CB,Arkansas,5 ft 10 in,199.0,4.44,37.5,16.0,116.0,6.81,4.04,2000,2000BARRETTDAVIDARK,4.0,102.0,70,3.0,1.0,3.0,4.0,3.0,3.0,17.0,1
William Bartee,CB,Oklahoma,6 ft 1 in,192.0,4.43,38.5,15.0,124.0,6.7,3.99,2000,2000BARTEEWILLIAMOKL,2.0,54.0,73,0.0,3.0,4.0,4.0,4.0,4.0,19.0,1
Terrance Beadles,OG,Ark-Pine Bluff,6 ft 3 in,312.0,5.19,27.0,29.0,98.0,8.07,4.84,2000,2000BEADLESTERRANCEARK,8.0,999.0,75,4.0,0.0,3.0,0.0,0.0,0.0,7.0,0
Robert Bean,CB,Mississippi State,5 ft 11 in,178.0,4.5,34.5,15.0,122.0,6.87,4.2,2000,2000BEANROBERTMIS,5.0,133.0,71,0.0,3.0,3.0,2.0,3.0,2.0,13.0,1
Anthony Becht,TE,West Virginia,6 ft 6 in,270.0,4.78,33.5,21.0,123.0,6.94,4.08,2000,2000BECHTANTHONYWES,1.0,27.0,78,0.0,4.0,3.0,4.0,4.0,3.0,18.0,1
Matt Beck,ILB,California,6 ft 3 in,234.0,4.65,33.0,21.0,114.0,7.27,4.34,2000,2000BECKMATTCAL,8.0,999.0,75,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0
Rogers Beckett,S,Marshall,6 ft 1 in,207.0,4.62,39.5,15.0,119.0,6.48,4.29,2000,2000BECKETTROGERSMAR,2.0,43.0,73,2.0,2.0,2.0,2.0,4.0,4.0,16.0,1
Brad Bedell,OG,Colorado,6 ft 4 in,302.0,5.07,31.5,17.0,103.0,7.76,4.58,2000,2000BEDELLBRADCOL,6.0,206.0,76,1.0,3.0,4.0,4.0,3.0,4.0,19.0,1
Marcus Bell,ILB,Arizona,6 ft 2 in,237.0,4.78,31.5,21.0,111.0,7.17,4.33,2000,2000BELLMARCUSARI,4.0,116.0,74,2.0,2.0,2.0,2.0,3.0,2.0,13.0,1
