player_id,year,player_name,position_combine,School,height,weight,forty_yard,vertical_leap,bench_press,broad_jump,three_cone,shuttle_run,nfl_team,position_nfl_standard,draft_round
2000JohnAbra,2000,John Abraham,OLB,South Carolina,76,252.0,4.55,,,,,,NYJ,DE,1.0
2000ShauAlex,2000,Shaun Alexander,RB,Alabama,72,218.0,4.58,,,,,,SEA,RB,1.0
2000DarnAlfo,2000,Darnell Alford,OT,Boston Col.,76,334.0,5.56,25.0,23.0,94.0,8.48,4.98,KAN,G,6.0
2000KyleAlla,2000,Kyle Allamon,TE,Texas Tech,74,253.0,4.97,29.0,,104.0,7.29,4.49,Undrafted,Undrafted,8.0
2000RashAnde,2000,Rashard Anderson,CB,Jackson State,74,206.0,4.55,34.0,,123.0,7.18,4.15,CAR,DB,1.0
2000LaVaArri,2000,LaVar Arrington,OLB,Penn State,75,250.0,4.53,,,,,,WAS,LB,1.0
2000CoreAtki,2000,Corey Atkins,OLB,South Carolina,72,237.0,4.72,31.0,21.0,112.0,7.96,4.39,Undrafted,Undrafted,8.0
2000ReggAust,2000,Reggie Austin,CB,Wake Forest,69,175.0,4.44,35.0,17.0,119.0,7.03,4.14,CHI,DB,4.0
2000MarkBani,2000,Mark Baniewicz,OT,Syracuse,78,312.0,5.34,28.0,20.0,96.0,7.72,4.73,JAX,T,7.0
2000RashBarn,2000,Rashidi Barnes,S,Colorado,72,208.0,4.62,35.0,10.0,114.0,6.92,4.32,CLE,DB,7.0
2000DaviBarr,2000,David Barrett,CB,Arkansas,70,199.0,4.44,37.5,16.0,116.0,6.81,4.04,ARI,DB,4.0
2000WillBart,2000,William Bartee,CB,Oklahoma,73,192.0,4.43,38.5,,124.0,6.7,3.99,KAN,DB,2.0
2000TerrBead,2000,Terrance Beadles,OG,Ark-Pine Bluff,75,312.0,5.19,,29.0,,,,Undrafted,Undrafted,8.0
2000RobeBean,2000,Robert Bean,CB,Mississippi State,71,178.0,4.5,34.5,,122.0,6.87,4.2,CIN,DB,5.0
