player_name,position,school,height,weight,forty_yard,vertical_leap,bench_press,broad_jump,three_cone,shuttle_run,year,player_id,column_a,draft_round,draft_pick,tm,hof,position_standard,first4av,age,to,ap1,pb,st,carav,drav,g,cmp,pass_att,pass_yds,pass_td,pass_int,rush_att,rush_yds,rush_tds,rec,rec_yds,rec_tds,tkl,def_int,sk
John Abraham,OLB,South Carolina,6-4,252.0,4.55,,,,,,2000,2000ABRAHAMJOHNSOU,2000John Abraham,1.0,13.0,NYJ,No,DE,40.0,22.0,2014.0,2.0,5.0,9.0,90.0,38.0,192.0,,,,,,,,,,,,446.0,1.0,133.5
Shaun Alexander,RB,Alabama,6-0,218.0,4.58,,,,,,2000,2000ALEXANDERSHAUNALA,2000Shaun Alexander,1.0,19.0,SEA,No,RB,53.0,23.0,2008.0,1.0,3.0,7.0,70.0,70.0,123.0,,,,,,2187.0,9453.0,100.0,215.0,1520.0,12.0,3.0,,
Darnell Alford,OT,Boston Col.,6-4,334.0,5.56,25.0,23.0,94.0,8.48,4.98,2000,2000ALFORDDARNELLBOS,2000Darnell Alford,6.0,188.0,KAN,No,G,0.0,23.0,2001.0,0.0,0.0,0.0,0.0,0.0,3.0,,,,,,,,,,,,,,
Kyle Allamon,TE,Texas Tech,6-2,253.0,4.97,29.0,,104.0,7.29,4.49,2000,2000ALLAMONKYLETEX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rashard Anderson,CB,Jackson State,6-2,206.0,4.55,34.0,,123.0,7.18,4.15,2000,2000ANDERSONRASHARDJAC,2000Rashard Anderson,1.0,23.0,CAR,No,DB,6.0,23.0,2001.0,0.0,0.0,1.0,6.0,6.0,27.0,,,,,,,,,,,,59.0,1.0,
LaVar Arrington,OLB,Penn State,6-3,250.0,4.53,,,,,,2000,2000ARRINGTONLAVARPEN,2000LaVar Arrington,1.0,2.0,WAS,No,LB,44.0,22.0,2006.0,0.0,3.0,4.0,46.0,45.0,85.0,,,,,,,,,,,,331.0,3.0,23.5
Corey Atkins,OLB,South Carolina,6-0,237.0,4.72,31.0,21.0,112.0,7.96,4.39,2000,2000ATKINSCOREYSOU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reggie Austin,CB,Wake Forest,5-9,175.0,4.44,35.0,17.0,119.0,7.03,4.14,2000,2000AUSTINREGGIEWAK,2000Reggie Austin,4.0,125.0,CHI,No,DB,3.0,23.0,2002.0,0.0,0.0,0.0,3.0,3.0,18.0,,,,,,,,,,,,17.0,2.0,
Mark Baniewicz,OT,Syracuse,6-6,312.0,5.34,28.0,20.0,96.0,7.72,4.73,2000,2000BANIEWICZMARKSYR,2000Mark Baniewicz,7.0,247.0,JAX,No,T,0.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
Rashidi Barnes,S,Colorado,6-0,208.0,4.62,35.0,10.0,114.0,6.92,4.32,2000,2000BARNESRASHIDICOL,2000Rashidi Barnes,7.0,225.0,CLE,No,DB,1.0,22.0,2000.0,0.0,0.0,0.0,1.0,1.0,14.0,,,,,,,,,,,,8.0,,
David Barrett,CB,Arkansas,5-10,199.0,4.44,37.5,16.0,116.0,6.81,4.04,2000,2000BARRETTDAVIDARK,2000David Barrett,4.0,102.0,ARI,No,DB,23.0,22.0,2008.0,0.0,0.0,4.0,30.0,13.0,131.0,,,,,,,,,,,,373.0,18.0,0.5
